REGION,YEAR,VALUE
REGION1,2021,0.058
REGION1,2022,0.058
REGION1,2023,0.058
REGION1,2024,0.0609
REGION1,2025,0.064
REGION1,2026,0.0671
REGION1,2027,0.0705
REGION1,2028,0.074
REGION1,2029,0.0777
REGION1,2030,0.0816
REGION1,2031,0.0856
REGION1,2032,0.0899
REGION1,2033,0.0944
REGION1,2034,0.0991
REGION1,2035,0.1041
REGION1,2036,0.1092
REGION1,2037,0.1146
REGION1,2038,0.1202
REGION1,2039,0.1262
REGION1,2040,0.1325
REGION1,2041,0.1391
REGION1,2042,0.1435
REGION1,2043,0.148
REGION1,2044,0.1524
REGION1,2045,0.1568
REGION1,2046,0.1613
REGION1,2047,0.1657
REGION1,2048,0.1701
REGION1,2049,0.1746
REGION1,2050,0.179
REGION1,2051,0.1834
REGION1,2052,0.1879
REGION1,2053,0.1923
REGION1,2054,0.1967
REGION1,2055,0.2012
