REGION,YEAR,VALUE
REGION1,2021,3.069
REGION1,2022,3.0224
REGION1,2023,3.0364
REGION1,2024,3.0505
REGION1,2025,3.0646
REGION1,2026,3.0819
REGION1,2027,3.0992
REGION1,2028,3.1164
REGION1,2029,3.1337
REGION1,2030,3.151
REGION1,2031,3.2133
REGION1,2032,3.2346
REGION1,2033,3.2558
REGION1,2034,3.277
REGION1,2035,3.2983
REGION1,2036,3.3163
REGION1,2037,3.3344
REGION1,2038,3.3525
REGION1,2039,3.3706
REGION1,2040,3.3887
REGION1,2041,3.4033
REGION1,2042,3.418
REGION1,2043,3.4326
REGION1,2044,3.4472
REGION1,2045,3.4618
REGION1,2046,3.4867
REGION1,2047,3.5117
REGION1,2048,3.5366
REGION1,2049,3.5615
REGION1,2050,3.5864
REGION1,2051,3.6043
REGION1,2052,3.622
REGION1,2053,3.6399
REGION1,2054,3.6577
REGION1,2055,3.6755
