REGION,YEAR,VALUE
REGION1,2021,7.0831
REGION1,2022,7.0202
REGION1,2023,6.9543
REGION1,2024,6.8883
REGION1,2025,6.8223
REGION1,2026,6.9966
REGION1,2027,7.1709
REGION1,2028,7.3452
REGION1,2029,7.5196
REGION1,2030,7.6939
REGION1,2031,7.7609
REGION1,2032,7.8432
REGION1,2033,7.9255
REGION1,2034,8.0077
REGION1,2035,8.09
REGION1,2036,8.1521
REGION1,2037,8.2143
REGION1,2038,8.2764
REGION1,2039,8.3385
REGION1,2040,8.4006
REGION1,2041,8.4485
REGION1,2042,8.4963
REGION1,2043,8.5442
REGION1,2044,8.592
REGION1,2045,8.6399
REGION1,2046,8.7085
REGION1,2047,8.7772
REGION1,2048,8.8458
REGION1,2049,8.9145
REGION1,2050,8.9831
REGION1,2051,9.0568
REGION1,2052,9.1304
REGION1,2053,9.2041
REGION1,2054,9.2778
REGION1,2055,9.3514
