REGION,YEAR,VALUE
REGION1,2021,5.3281
REGION1,2022,5.4614
REGION1,2023,5.5952
REGION1,2024,5.7291
REGION1,2025,5.8629
REGION1,2026,6.1747
REGION1,2027,6.4865
REGION1,2028,6.7983
REGION1,2029,7.1101
REGION1,2030,7.4219
REGION1,2031,7.2547
REGION1,2032,7.454
REGION1,2033,7.6532
REGION1,2034,7.8525
REGION1,2035,8.0518
REGION1,2036,8.1291
REGION1,2037,8.2065
REGION1,2038,8.2839
REGION1,2039,8.3614
REGION1,2040,8.4388
REGION1,2041,8.4853
REGION1,2042,8.5318
REGION1,2043,8.5782
REGION1,2044,8.6247
REGION1,2045,8.6712
REGION1,2046,8.6901
REGION1,2047,8.7091
REGION1,2048,8.728
REGION1,2049,8.7469
REGION1,2050,8.7659
REGION1,2051,8.952
REGION1,2052,9.1381
REGION1,2053,9.3242
REGION1,2054,9.5104
REGION1,2055,9.6965
