REGION,YEAR,VALUE
REGION1,2021,49.554
REGION1,2022,48.6701
REGION1,2023,48.16
REGION1,2024,47.6498
REGION1,2025,47.1397
REGION1,2026,47.9828
REGION1,2027,48.8259
REGION1,2028,49.6689
REGION1,2029,50.512
REGION1,2030,51.3551
REGION1,2031,51.2492
REGION1,2032,51.5358
REGION1,2033,51.8224
REGION1,2034,52.109
REGION1,2035,52.3956
REGION1,2036,52.8895
REGION1,2037,53.3835
REGION1,2038,53.8774
REGION1,2039,54.3714
REGION1,2040,54.8653
REGION1,2041,55.2976
REGION1,2042,55.7298
REGION1,2043,56.1621
REGION1,2044,56.5944
REGION1,2045,57.0266
REGION1,2046,57.2675
REGION1,2047,57.5084
REGION1,2048,57.7492
REGION1,2049,57.9901
REGION1,2050,58.2309
REGION1,2051,58.5943
REGION1,2052,58.9577
REGION1,2053,59.3211
REGION1,2054,59.6845
REGION1,2055,60.0479
