REGION,YEAR,VALUE
REGION1,2021,1.597
REGION1,2022,1.674
REGION1,2023,1.65
REGION1,2024,1.7348
REGION1,2025,1.8209
REGION1,2026,1.9085
REGION1,2027,1.9977
REGION1,2028,2.0881
REGION1,2029,2.18
REGION1,2030,2.2733
REGION1,2031,2.4002
REGION1,2032,2.5179
REGION1,2033,2.6303
REGION1,2034,2.7399
REGION1,2035,2.8482
REGION1,2036,2.956
REGION1,2037,3.0641
REGION1,2038,3.173
REGION1,2039,3.2827
REGION1,2040,3.3936
REGION1,2041,3.5109
REGION1,2042,3.6145
REGION1,2043,3.718
REGION1,2044,3.8216
REGION1,2045,3.9251
REGION1,2046,4.0287
REGION1,2047,4.1322
REGION1,2048,4.2358
REGION1,2049,4.3393
REGION1,2050,4.4428
REGION1,2051,4.5464
REGION1,2052,4.6499
REGION1,2053,4.7535
REGION1,2054,4.857
REGION1,2055,4.9606
