REGION,YEAR,VALUE
REGION1,2021,0.058
REGION1,2022,0.0595
REGION1,2023,0.0595
REGION1,2024,0.0653
REGION1,2025,0.0715
REGION1,2026,0.0782
REGION1,2027,0.0853
REGION1,2028,0.093
REGION1,2029,0.1012
REGION1,2030,0.11
REGION1,2031,0.1195
REGION1,2032,0.1297
REGION1,2033,0.1406
REGION1,2034,0.1522
REGION1,2035,0.1648
REGION1,2036,0.1782
REGION1,2037,0.1926
REGION1,2038,0.208
REGION1,2039,0.2245
REGION1,2040,0.2421
REGION1,2041,0.2613
REGION1,2042,0.2726
REGION1,2043,0.2839
REGION1,2044,0.2951
REGION1,2045,0.3064
REGION1,2046,0.3177
REGION1,2047,0.3289
REGION1,2048,0.3402
REGION1,2049,0.3515
REGION1,2050,0.3628
REGION1,2051,0.374
REGION1,2052,0.3853
REGION1,2053,0.3966
REGION1,2054,0.4078
REGION1,2055,0.4191
