REGION,YEAR,VALUE
REGION1,2021,0.144
REGION1,2022,0.1365
REGION1,2023,0.1365
REGION1,2024,0.1447
REGION1,2025,0.153
REGION1,2026,0.1615
REGION1,2027,0.1701
REGION1,2028,0.1788
REGION1,2029,0.1878
REGION1,2030,0.1968
REGION1,2031,0.2058
REGION1,2032,0.2151
REGION1,2033,0.2244
REGION1,2034,0.2337
REGION1,2035,0.2431
REGION1,2036,0.2525
REGION1,2037,0.2619
REGION1,2038,0.2715
REGION1,2039,0.2809
REGION1,2040,0.2905
REGION1,2041,0.3005
REGION1,2042,0.3096
REGION1,2043,0.3187
REGION1,2044,0.3278
REGION1,2045,0.3369
REGION1,2046,0.346
REGION1,2047,0.3551
REGION1,2048,0.3642
REGION1,2049,0.3733
REGION1,2050,0.3824
REGION1,2051,0.3915
REGION1,2052,0.4005
REGION1,2053,0.4096
REGION1,2054,0.4187
REGION1,2055,0.4278
