REGION,YEAR,VALUE
REGION1,2021,2.2204
REGION1,2022,2.1226
REGION1,2023,2.0899
REGION1,2024,2.0571
REGION1,2025,2.0244
REGION1,2026,2.0269
REGION1,2027,2.0294
REGION1,2028,2.0319
REGION1,2029,2.0343
REGION1,2030,2.0368
REGION1,2031,2.1255
REGION1,2032,2.1258
REGION1,2033,2.1261
REGION1,2034,2.1264
REGION1,2035,2.1267
REGION1,2036,2.1406
REGION1,2037,2.1544
REGION1,2038,2.1682
REGION1,2039,2.1821
REGION1,2040,2.1959
REGION1,2041,2.227
REGION1,2042,2.2582
REGION1,2043,2.2894
REGION1,2044,2.3205
REGION1,2045,2.3516
REGION1,2046,2.3657
REGION1,2047,2.3798
REGION1,2048,2.3938
REGION1,2049,2.4079
REGION1,2050,2.422
REGION1,2051,2.4253
REGION1,2052,2.4288
REGION1,2053,2.4322
REGION1,2054,2.4356
REGION1,2055,2.4391
