REGION,YEAR,VALUE
REGION1,2021,0.8086
REGION1,2022,0.777
REGION1,2023,0.782
REGION1,2024,0.787
REGION1,2025,0.792
REGION1,2026,0.8063
REGION1,2027,0.8206
REGION1,2028,0.8349
REGION1,2029,0.8492
REGION1,2030,0.8635
REGION1,2031,0.8718
REGION1,2032,0.8823
REGION1,2033,0.8928
REGION1,2034,0.9034
REGION1,2035,0.9139
REGION1,2036,0.9175
REGION1,2037,0.921
REGION1,2038,0.9246
REGION1,2039,0.9282
REGION1,2040,0.9318
REGION1,2041,0.933
REGION1,2042,0.9342
REGION1,2043,0.9354
REGION1,2044,0.9366
REGION1,2045,0.9379
REGION1,2046,0.9382
REGION1,2047,0.9385
REGION1,2048,0.9388
REGION1,2049,0.9392
REGION1,2050,0.9395
REGION1,2051,0.9487
REGION1,2052,0.9579
REGION1,2053,0.9672
REGION1,2054,0.9764
REGION1,2055,0.9856
