REGION,YEAR,VALUE
REGION1,2021,1.237
REGION1,2022,1.1862
REGION1,2023,1.2201
REGION1,2024,1.254
REGION1,2025,1.2879
REGION1,2026,1.3065
REGION1,2027,1.3251
REGION1,2028,1.3437
REGION1,2029,1.3622
REGION1,2030,1.3808
REGION1,2031,1.3959
REGION1,2032,1.4192
REGION1,2033,1.4425
REGION1,2034,1.4658
REGION1,2035,1.4891
REGION1,2036,1.5055
REGION1,2037,1.5219
REGION1,2038,1.5383
REGION1,2039,1.5548
REGION1,2040,1.5712
REGION1,2041,1.5839
REGION1,2042,1.5966
REGION1,2043,1.6093
REGION1,2044,1.622
REGION1,2045,1.6347
REGION1,2046,1.6366
REGION1,2047,1.6384
REGION1,2048,1.6403
REGION1,2049,1.6422
REGION1,2050,1.6441
REGION1,2051,1.6682
REGION1,2052,1.6923
REGION1,2053,1.7164
REGION1,2054,1.7405
REGION1,2055,1.7646
