REGION,YEAR,VALUE
REGION1,2021,6.599
REGION1,2022,6.6472
REGION1,2023,6.6621
REGION1,2024,7.5312
REGION1,2025,8.4779
REGION1,2026,9.5095
REGION1,2027,10.6247
REGION1,2028,11.8247
REGION1,2029,13.1115
REGION1,2030,14.487
REGION1,2031,15.9528
REGION1,2032,17.5105
REGION1,2033,19.1625
REGION1,2034,20.9139
REGION1,2035,22.7695
REGION1,2036,24.7331
REGION1,2037,26.8066
REGION1,2038,28.9902
REGION1,2039,31.2829
REGION1,2040,33.6815
REGION1,2041,36.3452
REGION1,2042,38.0171
REGION1,2043,39.689
REGION1,2044,41.3609
REGION1,2045,43.0328
REGION1,2046,44.7047
REGION1,2047,46.3766
REGION1,2048,48.0486
REGION1,2049,49.7205
REGION1,2050,51.3924
REGION1,2051,53.0643
REGION1,2052,54.7362
REGION1,2053,56.4081
REGION1,2054,58.08
REGION1,2055,59.7519
