REGION,YEAR,VALUE
REGION1,2021,6.239
REGION1,2022,6.4923
REGION1,2023,6.7197
REGION1,2024,6.9802
REGION1,2025,7.2475
REGION1,2026,7.5227
REGION1,2027,7.8056
REGION1,2028,8.0966
REGION1,2029,8.3957
REGION1,2030,8.7026
REGION1,2031,9.0186
REGION1,2032,9.3434
REGION1,2033,9.6768
REGION1,2034,10.0187
REGION1,2035,10.3694
REGION1,2036,10.7268
REGION1,2037,11.0916
REGION1,2038,11.4638
REGION1,2039,11.8439
REGION1,2040,12.232
REGION1,2041,12.6375
REGION1,2042,12.962
REGION1,2043,13.2866
REGION1,2044,13.6111
REGION1,2045,13.9357
REGION1,2046,14.2602
REGION1,2047,14.5848
REGION1,2048,14.9093
REGION1,2049,15.2339
REGION1,2050,15.5584
REGION1,2051,15.883
REGION1,2052,16.2075
REGION1,2053,16.5321
REGION1,2054,16.8566
REGION1,2055,17.1812
