REGION,YEAR,VALUE
REGION1,2021,0.675
REGION1,2022,0.759
REGION1,2023,0.754
REGION1,2024,0.7952
REGION1,2025,0.8372
REGION1,2026,0.884
REGION1,2027,0.9343
REGION1,2028,0.9866
REGION1,2029,1.04
REGION1,2030,1.094
REGION1,2031,1.1527
REGION1,2032,1.2142
REGION1,2033,1.2774
REGION1,2034,1.3416
REGION1,2035,1.4061
REGION1,2036,1.4741
REGION1,2037,1.544
REGION1,2038,1.6151
REGION1,2039,1.6867
REGION1,2040,1.7584
REGION1,2041,1.8363
REGION1,2042,1.8961
REGION1,2043,1.9559
REGION1,2044,2.0157
REGION1,2045,2.0756
REGION1,2046,2.1354
REGION1,2047,2.1952
REGION1,2048,2.255
REGION1,2049,2.3148
REGION1,2050,2.3746
REGION1,2051,2.4344
REGION1,2052,2.4942
REGION1,2053,2.554
REGION1,2054,2.6138
REGION1,2055,2.6736
