REGION,YEAR,VALUE
REGION1,2021,0.238
REGION1,2022,0.2716
REGION1,2023,0.2716
REGION1,2024,0.2966
REGION1,2025,0.3264
REGION1,2026,0.3618
REGION1,2027,0.4037
REGION1,2028,0.4532
REGION1,2029,0.5116
REGION1,2030,0.5805
REGION1,2031,0.6618
REGION1,2032,0.7578
REGION1,2033,0.8712
REGION1,2034,1.0056
REGION1,2035,1.1647
REGION1,2036,1.3537
REGION1,2037,1.5784
REGION1,2038,1.846
REGION1,2039,2.1651
REGION1,2040,2.5463
REGION1,2041,2.9865
REGION1,2042,3.146
REGION1,2043,3.3055
REGION1,2044,3.465
REGION1,2045,3.6244
REGION1,2046,3.7839
REGION1,2047,3.9434
REGION1,2048,4.1029
REGION1,2049,4.2623
REGION1,2050,4.4218
REGION1,2051,4.5813
REGION1,2052,4.7407
REGION1,2053,4.9002
REGION1,2054,5.0597
REGION1,2055,5.2192
