REGION,YEAR,VALUE
REGION1,2021,0.5619
REGION1,2022,0.5813
REGION1,2023,0.663
REGION1,2024,0.713777508482792
REGION1,2025,0.7433977217644206
REGION1,2026,0.772910809500727
REGION1,2027,0.8024774600096946
REGION1,2028,0.8191354823073195
REGION1,2029,0.835686379059622
REGION1,2030,0.8523444013572467
REGION1,2031,0.8688952981095494
REGION1,2032,0.8855533204071742
REGION1,2033,0.8742515753756667
REGION1,2034,0.8920879786718373
REGION1,2035,0.9098708191953467
REGION1,2036,0.9277607852641785
REGION1,2037,0.9455971885603492
REGION1,2038,0.9507392147358217
REGION1,2039,0.9559883664566166
REGION1,2040,0.9611839554047503
REGION1,2041,0.9663259815802229
REGION1,2042,0.9715751333010179
REGION1,2043,0.9780562287930198
REGION1,2044,0.9844837615123604
REGION1,2045,0.9909112942317012
REGION1,2046,0.9973923897237031
REGION1,2047,1.003873485215705
REGION1,2048,1.0079978187106151
REGION1,2049,1.0122292777508477
REGION1,2050,1.016407174018419
REGION1,2051,1.0205315075133292
REGION1,2052,1.0247094037809006
REGION1,2053,1.0409924866698972
REGION1,2054,1.0572755695588938
REGION1,2055,1.0735050896752292
