REGION,YEAR,VALUE
REGION1,2021,0.271
REGION1,2022,0.271
REGION1,2023,0.271
REGION1,2024,0.3028
REGION1,2025,0.337
REGION1,2026,0.3737
REGION1,2027,0.413
REGION1,2028,0.4549
REGION1,2029,0.4994
REGION1,2030,0.5467
REGION1,2031,0.5967
REGION1,2032,0.6495
REGION1,2033,0.705
REGION1,2034,0.7633
REGION1,2035,0.8244
REGION1,2036,0.8882
REGION1,2037,0.9549
REGION1,2038,1.0242
REGION1,2039,1.0963
REGION1,2040,1.171
REGION1,2041,1.2534
REGION1,2042,1.3084
REGION1,2043,1.3635
REGION1,2044,1.4185
REGION1,2045,1.4735
REGION1,2046,1.5286
REGION1,2047,1.5836
REGION1,2048,1.6386
REGION1,2049,1.6937
REGION1,2050,1.7487
REGION1,2051,1.8038
REGION1,2052,1.8588
REGION1,2053,1.9138
REGION1,2054,1.9689
REGION1,2055,2.0239
