REGION,YEAR,VALUE
REGION1,2021,3.926
REGION1,2022,4.0421
REGION1,2023,4.0396
REGION1,2024,4.1661
REGION1,2025,4.2953
REGION1,2026,4.4272
REGION1,2027,4.5619
REGION1,2028,4.6995
REGION1,2029,4.84
REGION1,2030,4.9834
REGION1,2031,5.1295
REGION1,2032,5.2787
REGION1,2033,5.4305
REGION1,2034,5.5855
REGION1,2035,5.7431
REGION1,2036,5.9039
REGION1,2037,6.0673
REGION1,2038,6.2339
REGION1,2039,6.4031
REGION1,2040,6.5752
REGION1,2041,6.7536
REGION1,2042,6.9024
REGION1,2043,7.0512
REGION1,2044,7.2
REGION1,2045,7.3488
REGION1,2046,7.4976
REGION1,2047,7.6464
REGION1,2048,7.7952
REGION1,2049,7.944
REGION1,2050,8.0928
REGION1,2051,8.2416
REGION1,2052,8.3904
REGION1,2053,8.5392
REGION1,2054,8.6879
REGION1,2055,8.8367
