REGION,YEAR,VALUE
REGION1,2021,0.676
REGION1,2022,0.6965
REGION1,2023,0.7941
REGION1,2024,0.824
REGION1,2025,0.8542
REGION1,2026,0.8849
REGION1,2027,0.9159
REGION1,2028,0.9471
REGION1,2029,0.9786
REGION1,2030,1.0104
REGION1,2031,1.0425
REGION1,2032,1.0747
REGION1,2033,1.1072
REGION1,2034,1.1399
REGION1,2035,1.1728
REGION1,2036,1.2059
REGION1,2037,1.239
REGION1,2038,1.2723
REGION1,2039,1.3058
REGION1,2040,1.3392
REGION1,2041,1.3744
REGION1,2042,1.4065
REGION1,2043,1.4386
REGION1,2044,1.4707
REGION1,2045,1.5028
REGION1,2046,1.5349
REGION1,2047,1.5669
REGION1,2048,1.599
REGION1,2049,1.6311
REGION1,2050,1.6632
REGION1,2051,1.6953
REGION1,2052,1.7274
REGION1,2053,1.7595
REGION1,2054,1.7916
REGION1,2055,1.8237
