REGION,YEAR,VALUE
REGION1,2021,0.267
REGION1,2022,0.2845
REGION1,2023,0.2933
REGION1,2024,0.3243
REGION1,2025,0.358
REGION1,2026,0.3943
REGION1,2027,0.4333
REGION1,2028,0.4752
REGION1,2029,0.5201
REGION1,2030,0.5682
REGION1,2031,0.6199
REGION1,2032,0.6754
REGION1,2033,0.735
REGION1,2034,0.7991
REGION1,2035,0.8679
REGION1,2036,0.9418
REGION1,2037,1.0215
REGION1,2038,1.1069
REGION1,2039,1.199
REGION1,2040,1.298
REGION1,2041,1.4059
REGION1,2042,1.4682
REGION1,2043,1.5305
REGION1,2044,1.5927
REGION1,2045,1.655
REGION1,2046,1.7173
REGION1,2047,1.7795
REGION1,2048,1.8418
REGION1,2049,1.9041
REGION1,2050,1.9663
REGION1,2051,2.0286
REGION1,2052,2.0909
REGION1,2053,2.1532
REGION1,2054,2.2154
REGION1,2055,2.2777
