REGION,YEAR,VALUE
REGION1,2021,5.151
REGION1,2022,4.9933
REGION1,2023,5.2706
REGION1,2024,5.8339
REGION1,2025,6.4374
REGION1,2026,7.0654
REGION1,2027,7.7241
REGION1,2028,8.4191
REGION1,2029,9.1554
REGION1,2030,9.9374
REGION1,2031,10.7362
REGION1,2032,11.56
REGION1,2033,12.4161
REGION1,2034,13.3104
REGION1,2035,14.2479
REGION1,2036,15.1993
REGION1,2037,16.1742
REGION1,2038,17.1802
REGION1,2039,18.2234
REGION1,2040,19.3089
REGION1,2041,20.4815
REGION1,2042,21.3288
REGION1,2043,22.1762
REGION1,2044,23.0236
REGION1,2045,23.871
REGION1,2046,24.7184
REGION1,2047,25.5658
REGION1,2048,26.4132
REGION1,2049,27.2606
REGION1,2050,28.108
REGION1,2051,28.9554
REGION1,2052,29.8028
REGION1,2053,30.6502
REGION1,2054,31.4976
REGION1,2055,32.345
