REGION,YEAR,VALUE
REGION1,2021,17.2462
REGION1,2022,16.7664
REGION1,2023,17.7547
REGION1,2024,18.743
REGION1,2025,19.7313
REGION1,2026,19.9474
REGION1,2027,20.1635
REGION1,2028,20.3796
REGION1,2029,20.5957
REGION1,2030,20.8118
REGION1,2031,20.177
REGION1,2032,20.556
REGION1,2033,20.935
REGION1,2034,21.3139
REGION1,2035,21.6929
REGION1,2036,21.7743
REGION1,2037,21.8558
REGION1,2038,21.9372
REGION1,2039,22.0186
REGION1,2040,22.1001
REGION1,2041,22.2734
REGION1,2042,22.4468
REGION1,2043,22.6201
REGION1,2044,22.7935
REGION1,2045,22.9668
REGION1,2046,23.1943
REGION1,2047,23.4217
REGION1,2048,23.6492
REGION1,2049,23.8766
REGION1,2050,24.1041
REGION1,2051,24.3925
REGION1,2052,24.6809
REGION1,2053,24.9694
REGION1,2054,25.2578
REGION1,2055,25.5462
