REGION,YEAR,VALUE
REGION1,2021,25.23
REGION1,2022,25.23
REGION1,2023,25.23
REGION1,2024,25.23
REGION1,2025,25.23
REGION1,2026,25.23
REGION1,2027,25.23
REGION1,2028,25.23
REGION1,2029,25.23
REGION1,2030,25.23
REGION1,2031,25.2892
REGION1,2032,25.3483
REGION1,2033,25.4074
REGION1,2034,25.4666
REGION1,2035,25.5257
REGION1,2036,25.5848
REGION1,2037,25.644
REGION1,2038,25.7031
REGION1,2039,25.7622
REGION1,2040,25.8213
REGION1,2041,25.8805
REGION1,2042,25.9396
REGION1,2043,25.9987
REGION1,2044,26.0579
REGION1,2045,26.117
REGION1,2046,26.1761
REGION1,2047,26.2353
REGION1,2048,26.2944
REGION1,2049,26.3535
REGION1,2050,26.4127
REGION1,2051,26.4655
REGION1,2052,26.5185
REGION1,2053,26.5715
REGION1,2054,26.6246
REGION1,2055,26.6778
