REGION,YEAR,VALUE
REGION1,2021,27.3747
REGION1,2022,26.9525
REGION1,2023,27.4329
REGION1,2024,27.9133
REGION1,2025,28.3936
REGION1,2026,28.9604
REGION1,2027,29.5271
REGION1,2028,30.0939
REGION1,2029,30.6607
REGION1,2030,31.2275
REGION1,2031,31.2478
REGION1,2032,31.725
REGION1,2033,32.2023
REGION1,2034,32.6795
REGION1,2035,33.1568
REGION1,2036,33.504
REGION1,2037,33.8511
REGION1,2038,34.1983
REGION1,2039,34.5454
REGION1,2040,34.8926
REGION1,2041,35.2134
REGION1,2042,35.5343
REGION1,2043,35.8551
REGION1,2044,36.1759
REGION1,2045,36.4968
REGION1,2046,36.7329
REGION1,2047,36.9692
REGION1,2048,37.2054
REGION1,2049,37.4417
REGION1,2050,37.6779
REGION1,2051,38.1429
REGION1,2052,38.6079
REGION1,2053,39.0729
REGION1,2054,39.5379
REGION1,2055,40.0029
