REGION,YEAR,VALUE
REGION1,2021,9.8278
REGION1,2022,10.1067
REGION1,2023,10.0149
REGION1,2024,9.9232
REGION1,2025,9.8313
REGION1,2026,9.8945
REGION1,2027,9.9577
REGION1,2028,10.0208
REGION1,2029,10.0839
REGION1,2030,10.1471
REGION1,2031,10.3846
REGION1,2032,10.4154
REGION1,2033,10.4464
REGION1,2034,10.4772
REGION1,2035,10.5081
REGION1,2036,10.5553
REGION1,2037,10.6025
REGION1,2038,10.6497
REGION1,2039,10.6968
REGION1,2040,10.744
REGION1,2041,10.8679
REGION1,2042,10.9918
REGION1,2043,11.1157
REGION1,2044,11.2396
REGION1,2045,11.3635
REGION1,2046,11.4195
REGION1,2047,11.4755
REGION1,2048,11.5314
REGION1,2049,11.5875
REGION1,2050,11.6435
REGION1,2051,11.6866
REGION1,2052,11.7298
REGION1,2053,11.7731
REGION1,2054,11.8162
REGION1,2055,11.8594
