REGION,YEAR,VALUE
REGION1,2021,9.614
REGION1,2022,8.9213
REGION1,2023,9.7198
REGION1,2024,10.5184
REGION1,2025,11.317
REGION1,2026,11.6531
REGION1,2027,11.9893
REGION1,2028,12.3254
REGION1,2029,12.6616
REGION1,2030,12.9978
REGION1,2031,12.1839
REGION1,2032,12.5464
REGION1,2033,12.9089
REGION1,2034,13.2714
REGION1,2035,13.6339
REGION1,2036,13.6777
REGION1,2037,13.7215
REGION1,2038,13.7653
REGION1,2039,13.8091
REGION1,2040,13.8529
REGION1,2041,13.8993
REGION1,2042,13.9456
REGION1,2043,13.992
REGION1,2044,14.0384
REGION1,2045,14.0848
REGION1,2046,14.1354
REGION1,2047,14.1859
REGION1,2048,14.2365
REGION1,2049,14.2871
REGION1,2050,14.3377
REGION1,2051,14.6264
REGION1,2052,14.915
REGION1,2053,15.2036
REGION1,2054,15.4923
REGION1,2055,15.781
