REGION,YEAR,VALUE
REGION1,2021,0.102
REGION1,2022,0.106
REGION1,2023,0.108
REGION1,2024,0.1179
REGION1,2025,0.1281
REGION1,2026,0.1391
REGION1,2027,0.1512
REGION1,2028,0.1644
REGION1,2029,0.1786
REGION1,2030,0.194
REGION1,2031,0.2115
REGION1,2032,0.2314
REGION1,2033,0.2538
REGION1,2034,0.2789
REGION1,2035,0.3068
REGION1,2036,0.3394
REGION1,2037,0.377
REGION1,2038,0.4201
REGION1,2039,0.4692
REGION1,2040,0.525
REGION1,2041,0.5863
REGION1,2042,0.6131
REGION1,2043,0.64
REGION1,2044,0.6668
REGION1,2045,0.6936
REGION1,2046,0.7204
REGION1,2047,0.7472
REGION1,2048,0.774
REGION1,2049,0.8008
REGION1,2050,0.8276
REGION1,2051,0.8545
REGION1,2052,0.8813
REGION1,2053,0.9081
REGION1,2054,0.9349
REGION1,2055,0.9617
