REGION,YEAR,VALUE
REGION1,2021,2.462
REGION1,2022,2.3338
REGION1,2023,2.3298
REGION1,2024,2.4478
REGION1,2025,2.5641
REGION1,2026,2.6812
REGION1,2027,2.7992
REGION1,2028,2.9182
REGION1,2029,3.0385
REGION1,2030,3.1602
REGION1,2031,3.2856
REGION1,2032,3.4134
REGION1,2033,3.5411
REGION1,2034,3.6685
REGION1,2035,3.796
REGION1,2036,3.9243
REGION1,2037,4.0536
REGION1,2038,4.184
REGION1,2039,4.3154
REGION1,2040,4.448
REGION1,2041,4.5877
REGION1,2042,4.7128
REGION1,2043,4.8378
REGION1,2044,4.9629
REGION1,2045,5.0879
REGION1,2046,5.213
REGION1,2047,5.3381
REGION1,2048,5.4631
REGION1,2049,5.5882
REGION1,2050,5.7133
REGION1,2051,5.8383
REGION1,2052,5.9634
REGION1,2053,6.0885
REGION1,2054,6.2135
REGION1,2055,6.3386
