REGION,YEAR,VALUE
REGION1,2021,25.657
REGION1,2022,24.6989
REGION1,2023,24.4839
REGION1,2024,24.2689
REGION1,2025,24.0539
REGION1,2026,24.2957
REGION1,2027,24.5375
REGION1,2028,24.7794
REGION1,2029,25.0212
REGION1,2030,25.263
REGION1,2031,25.6275
REGION1,2032,25.7307
REGION1,2033,25.8339
REGION1,2034,25.9371
REGION1,2035,26.0403
REGION1,2036,26.1637
REGION1,2037,26.2871
REGION1,2038,26.4105
REGION1,2039,26.534
REGION1,2040,26.6574
REGION1,2041,26.7725
REGION1,2042,26.8876
REGION1,2043,27.0027
REGION1,2044,27.1179
REGION1,2045,27.233
REGION1,2046,27.3483
REGION1,2047,27.4635
REGION1,2048,27.5788
REGION1,2049,27.6941
REGION1,2050,27.8094
REGION1,2051,27.9041
REGION1,2052,27.9988
REGION1,2053,28.0936
REGION1,2054,28.1883
REGION1,2055,28.283
