REGION,YEAR,VALUE
REGION1,2021,2.3309
REGION1,2022,2.2585
REGION1,2023,2.3511
REGION1,2024,2.4435
REGION1,2025,2.536
REGION1,2026,2.5997
REGION1,2027,2.6635
REGION1,2028,2.7273
REGION1,2029,2.791
REGION1,2030,2.8548
REGION1,2031,2.7832
REGION1,2032,2.8415
REGION1,2033,2.8998
REGION1,2034,2.9581
REGION1,2035,3.0164
REGION1,2036,3.0415
REGION1,2037,3.0665
REGION1,2038,3.0915
REGION1,2039,3.1166
REGION1,2040,3.1417
REGION1,2041,3.1636
REGION1,2042,3.1855
REGION1,2043,3.2074
REGION1,2044,3.2293
REGION1,2045,3.2513
REGION1,2046,3.2674
REGION1,2047,3.2836
REGION1,2048,3.2998
REGION1,2049,3.3159
REGION1,2050,3.3321
REGION1,2051,3.3843
REGION1,2052,3.4365
REGION1,2053,3.4888
REGION1,2054,3.541
REGION1,2055,3.5932
