REGION,YEAR,VALUE
REGION1,2021,4.441
REGION1,2022,3.9753
REGION1,2023,4.1959
REGION1,2024,4.4164
REGION1,2025,4.6369
REGION1,2026,4.6795
REGION1,2027,4.7222
REGION1,2028,4.7648
REGION1,2029,4.8074
REGION1,2030,4.8501
REGION1,2031,4.799
REGION1,2032,4.8905
REGION1,2033,4.982
REGION1,2034,5.0735
REGION1,2035,5.165
REGION1,2036,5.2102
REGION1,2037,5.2554
REGION1,2038,5.3006
REGION1,2039,5.3458
REGION1,2040,5.3909
REGION1,2041,5.4316
REGION1,2042,5.4723
REGION1,2043,5.513
REGION1,2044,5.5538
REGION1,2045,5.5945
REGION1,2046,5.6189
REGION1,2047,5.6435
REGION1,2048,5.668
REGION1,2049,5.6925
REGION1,2050,5.717
REGION1,2051,5.7973
REGION1,2052,5.8776
REGION1,2053,5.9579
REGION1,2054,6.0382
REGION1,2055,6.1185
