REGION,YEAR,VALUE
REGION1,2021,0.057
REGION1,2022,0.057
REGION1,2023,0.0598
REGION1,2024,0.0673
REGION1,2025,0.0751
REGION1,2026,0.0833
REGION1,2027,0.0919
REGION1,2028,0.1007
REGION1,2029,0.1099
REGION1,2030,0.1193
REGION1,2031,0.1291
REGION1,2032,0.1393
REGION1,2033,0.1498
REGION1,2034,0.1607
REGION1,2035,0.1719
REGION1,2036,0.1835
REGION1,2037,0.1957
REGION1,2038,0.2082
REGION1,2039,0.2212
REGION1,2040,0.2346
REGION1,2041,0.2493
REGION1,2042,0.2598
REGION1,2043,0.2704
REGION1,2044,0.2809
REGION1,2045,0.2915
REGION1,2046,0.302
REGION1,2047,0.3126
REGION1,2048,0.3231
REGION1,2049,0.3336
REGION1,2050,0.3442
REGION1,2051,0.3547
REGION1,2052,0.3653
REGION1,2053,0.3758
REGION1,2054,0.3864
REGION1,2055,0.3969
