REGION,YEAR,VALUE
REGION1,2021,0.818
REGION1,2022,0.9377
REGION1,2023,1.0023
REGION1,2024,1.1011
REGION1,2025,1.2045
REGION1,2026,1.3124
REGION1,2027,1.4248
REGION1,2028,1.5418
REGION1,2029,1.6636
REGION1,2030,1.788
REGION1,2031,1.9121
REGION1,2032,2.0358
REGION1,2033,2.1585
REGION1,2034,2.2798
REGION1,2035,2.3998
REGION1,2036,2.518
REGION1,2037,2.6346
REGION1,2038,2.7492
REGION1,2039,2.8618
REGION1,2040,2.9724
REGION1,2041,3.0942
REGION1,2042,3.2109
REGION1,2043,3.3276
REGION1,2044,3.4442
REGION1,2045,3.5609
REGION1,2046,3.6776
REGION1,2047,3.7943
REGION1,2048,3.911
REGION1,2049,4.0277
REGION1,2050,4.1444
REGION1,2051,4.2611
REGION1,2052,4.3778
REGION1,2053,4.4945
REGION1,2054,4.6111
REGION1,2055,4.7278
