REGION,YEAR,VALUE
REGION1,2021,0.055
REGION1,2022,0.0608
REGION1,2023,0.0608
REGION1,2024,0.0653
REGION1,2025,0.0698
REGION1,2026,0.0748
REGION1,2027,0.0802
REGION1,2028,0.086
REGION1,2029,0.0917
REGION1,2030,0.0977
REGION1,2031,0.104
REGION1,2032,0.1108
REGION1,2033,0.1176
REGION1,2034,0.1246
REGION1,2035,0.132
REGION1,2036,0.1399
REGION1,2037,0.1482
REGION1,2038,0.157
REGION1,2039,0.166
REGION1,2040,0.1752
REGION1,2041,0.1852
REGION1,2042,0.1921
REGION1,2043,0.1989
REGION1,2044,0.2058
REGION1,2045,0.2127
REGION1,2046,0.2196
REGION1,2047,0.2264
REGION1,2048,0.2333
REGION1,2049,0.2402
REGION1,2050,0.247
REGION1,2051,0.2539
REGION1,2052,0.2608
REGION1,2053,0.2677
REGION1,2054,0.2745
REGION1,2055,0.2814
