REGION,YEAR,VALUE
REGION1,2021,0.079
REGION1,2022,0.079
REGION1,2023,0.079
REGION1,2024,0.0821
REGION1,2025,0.0852
REGION1,2026,0.0883
REGION1,2027,0.0915
REGION1,2028,0.0946
REGION1,2029,0.0978
REGION1,2030,0.1011
REGION1,2031,0.1043
REGION1,2032,0.1076
REGION1,2033,0.1108
REGION1,2034,0.1141
REGION1,2035,0.1174
REGION1,2036,0.1207
REGION1,2037,0.1241
REGION1,2038,0.1274
REGION1,2039,0.1308
REGION1,2040,0.1341
REGION1,2041,0.1377
REGION1,2042,0.141
REGION1,2043,0.1442
REGION1,2044,0.1475
REGION1,2045,0.1507
REGION1,2046,0.1539
REGION1,2047,0.1572
REGION1,2048,0.1604
REGION1,2049,0.1637
REGION1,2050,0.1669
REGION1,2051,0.1702
REGION1,2052,0.1734
REGION1,2053,0.1767
REGION1,2054,0.1799
REGION1,2055,0.1832
