REGION,YEAR,VALUE
REGION1,2021,0.268
REGION1,2022,0.2794
REGION1,2023,0.2832
REGION1,2024,0.2923
REGION1,2025,0.3016
REGION1,2026,0.3109
REGION1,2027,0.32
REGION1,2028,0.3293
REGION1,2029,0.3385
REGION1,2030,0.3478
REGION1,2031,0.3571
REGION1,2032,0.3666
REGION1,2033,0.376
REGION1,2034,0.3855
REGION1,2035,0.395
REGION1,2036,0.4046
REGION1,2037,0.4143
REGION1,2038,0.4239
REGION1,2039,0.4337
REGION1,2040,0.4436
REGION1,2041,0.4538
REGION1,2042,0.4633
REGION1,2043,0.4727
REGION1,2044,0.4821
REGION1,2045,0.4916
REGION1,2046,0.501
REGION1,2047,0.5104
REGION1,2048,0.5199
REGION1,2049,0.5293
REGION1,2050,0.5387
REGION1,2051,0.5482
REGION1,2052,0.5576
REGION1,2053,0.567
REGION1,2054,0.5764
REGION1,2055,0.5859
