REGION,YEAR,VALUE
REGION1,2021,0.104
REGION1,2022,0.10881287726358148
REGION1,2023,0.13070579644682645
REGION1,2024,0.16370118161907324
REGION1,2025,0.20305442050977068
REGION1,2026,0.2489449647304333
REGION1,2027,0.30270750230587107
REGION1,2028,0.366379495865684
REGION1,2029,0.4402913353610815
REGION1,2030,0.5255476803739981
REGION1,2031,0.626481821220613
REGION1,2032,0.7438914302901096
REGION1,2033,0.8782776758597602
REGION1,2034,1.0355521601883688
REGION1,2035,1.2172720046918446
REGION1,2036,1.426129195251751
REGION1,2037,1.6656535579598568
REGION1,2038,1.9383833405826454
REGION1,2039,2.2388327583729555
REGION1,2040,2.572512780206616
REGION1,2041,2.935954289587005
REGION1,2042,3.3296915737190975
REGION1,2043,3.7645296959504866
REGION1,2044,4.243651657253276
REGION1,2045,4.770357129435846
REGION1,2046,5.348105840477715
REGION1,2047,5.9805213727453665
REGION1,2048,6.670739682633964
REGION1,2049,7.423887711318443
REGION1,2050,8.243575247560157
REGION1,2051,9.134117640645838
REGION1,2052,10.034117640645839
REGION1,2053,10.93411764064584
REGION1,2054,11.83411764064584
REGION1,2055,12.73411764064584
