REGION,YEAR,VALUE
REGION1,2021,0.221
REGION1,2022,0.2971
REGION1,2023,0.2956
REGION1,2024,0.3104
REGION1,2025,0.3251
REGION1,2026,0.3405
REGION1,2027,0.3566
REGION1,2028,0.3732
REGION1,2029,0.3906
REGION1,2030,0.4086
REGION1,2031,0.4278
REGION1,2032,0.4483
REGION1,2033,0.47
REGION1,2034,0.4927
REGION1,2035,0.5167
REGION1,2036,0.5428
REGION1,2037,0.5709
REGION1,2038,0.6011
REGION1,2039,0.6332
REGION1,2040,0.6672
REGION1,2041,0.7028
REGION1,2042,0.7249
REGION1,2043,0.747
REGION1,2044,0.769
REGION1,2045,0.7911
REGION1,2046,0.8132
REGION1,2047,0.8353
REGION1,2048,0.8573
REGION1,2049,0.8794
REGION1,2050,0.9015
REGION1,2051,0.9236
REGION1,2052,0.9456
REGION1,2053,0.9677
REGION1,2054,0.9898
REGION1,2055,1.0119
