REGION,YEAR,VALUE
REGION1,2021,3.934
REGION1,2022,4.1141
REGION1,2023,4.0815
REGION1,2024,4.1831
REGION1,2025,4.2861
REGION1,2026,4.3938
REGION1,2027,4.5056
REGION1,2028,4.6212
REGION1,2029,4.7402
REGION1,2030,4.8624
REGION1,2031,4.993
REGION1,2032,5.1305
REGION1,2033,5.2738
REGION1,2034,5.4223
REGION1,2035,5.575
REGION1,2036,5.7387
REGION1,2037,5.9109
REGION1,2038,6.0905
REGION1,2039,6.2761
REGION1,2040,6.4673
REGION1,2041,6.6644
REGION1,2042,6.8034
REGION1,2043,6.9425
REGION1,2044,7.0815
REGION1,2045,7.2205
REGION1,2046,7.3595
REGION1,2047,7.4985
REGION1,2048,7.6376
REGION1,2049,7.7766
REGION1,2050,7.9156
REGION1,2051,8.0546
REGION1,2052,8.1936
REGION1,2053,8.3327
REGION1,2054,8.4717
REGION1,2055,8.6107
