REGION,YEAR,VALUE
REGION1,2021,1.148
REGION1,2022,1.276
REGION1,2023,1.4549
REGION1,2024,1.6138
REGION1,2025,1.7826
REGION1,2026,1.9657
REGION1,2027,2.1633
REGION1,2028,2.3753
REGION1,2029,2.6018
REGION1,2030,2.8427
REGION1,2031,3.1079
REGION1,2032,3.3976
REGION1,2033,3.6932
REGION1,2034,3.9732
REGION1,2035,4.2355
REGION1,2036,4.4952
REGION1,2037,4.7505
REGION1,2038,4.9996
REGION1,2039,5.2412
REGION1,2040,5.4739
REGION1,2041,5.7384
REGION1,2042,5.9803
REGION1,2043,6.2221
REGION1,2044,6.4639
REGION1,2045,6.7057
REGION1,2046,6.9475
REGION1,2047,7.1894
REGION1,2048,7.4312
REGION1,2049,7.673
REGION1,2050,7.9148
REGION1,2051,8.1566
REGION1,2052,8.3985
REGION1,2053,8.6403
REGION1,2054,8.8821
REGION1,2055,9.1239
