REGION,YEAR,VALUE
REGION1,2021,0.627
REGION1,2022,0.6833
REGION1,2023,0.6833
REGION1,2024,0.712
REGION1,2025,0.7391
REGION1,2026,0.7713
REGION1,2027,0.8037
REGION1,2028,0.8349
REGION1,2029,0.865
REGION1,2030,0.8938
REGION1,2031,0.9308
REGION1,2032,0.9693
REGION1,2033,1.0075
REGION1,2034,1.0448
REGION1,2035,1.0808
REGION1,2036,1.1269
REGION1,2037,1.1751
REGION1,2038,1.2232
REGION1,2039,1.2704
REGION1,2040,1.3165
REGION1,2041,1.3674
REGION1,2042,1.4047
REGION1,2043,1.4421
REGION1,2044,1.4795
REGION1,2045,1.5169
REGION1,2046,1.5543
REGION1,2047,1.5916
REGION1,2048,1.629
REGION1,2049,1.6664
REGION1,2050,1.7038
REGION1,2051,1.7412
REGION1,2052,1.7785
REGION1,2053,1.8159
REGION1,2054,1.8533
REGION1,2055,1.8907
