REGION,YEAR,VALUE
REGION1,2021,53.4225
REGION1,2022,53.6229
REGION1,2023,53.8233
REGION1,2024,54.0233
REGION1,2025,54.2237
REGION1,2026,54.6996
REGION1,2027,55.1755
REGION1,2028,55.6509
REGION1,2029,56.1268
REGION1,2030,56.6027
REGION1,2031,57.1095
REGION1,2032,57.6162
REGION1,2033,58.123
REGION1,2034,58.6298
REGION1,2035,59.1366
REGION1,2036,59.8711
REGION1,2037,60.6057
REGION1,2038,61.3398
REGION1,2039,62.0744
REGION1,2040,62.809
REGION1,2041,63.6424
REGION1,2042,64.4763
REGION1,2043,65.3098
REGION1,2044,66.1432
REGION1,2045,66.9767
REGION1,2046,67.5033
REGION1,2047,68.0295
REGION1,2048,68.5557
REGION1,2049,69.0824
REGION1,2050,69.6086
REGION1,2051,69.9569
REGION1,2052,70.3065
REGION1,2053,70.6579
REGION1,2054,71.0115
REGION1,2055,71.3664
