REGION,YEAR,VALUE
REGION1,2021,36.899
REGION1,2022,36.3579
REGION1,2023,35.5272
REGION1,2024,36.6959
REGION1,2025,37.8716
REGION1,2026,39.0533
REGION1,2027,40.2409
REGION1,2028,41.3673
REGION1,2029,42.2813
REGION1,2030,43.1196
REGION1,2031,43.9265
REGION1,2032,44.7166
REGION1,2033,45.4949
REGION1,2034,46.2632
REGION1,2035,47.0223
REGION1,2036,47.7728
REGION1,2037,48.515
REGION1,2038,49.2492
REGION1,2039,49.9757
REGION1,2040,50.695
REGION1,2041,51.4429
REGION1,2042,52.3344
REGION1,2043,53.2259
REGION1,2044,54.1174
REGION1,2045,55.0089
REGION1,2046,55.9004
REGION1,2047,56.7919
REGION1,2048,57.6834
REGION1,2049,58.5749
REGION1,2050,59.4664
REGION1,2051,60.3578
REGION1,2052,61.2493
REGION1,2053,62.1408
REGION1,2054,63.0323
REGION1,2055,63.9238
