REGION,YEAR,VALUE
REGION1,2021,2.204
REGION1,2022,2.3228
REGION1,2023,2.3524
REGION1,2024,2.4799
REGION1,2025,2.611
REGION1,2026,2.7457
REGION1,2027,2.8841
REGION1,2028,3.026
REGION1,2029,3.1716
REGION1,2030,3.3207
REGION1,2031,3.4734
REGION1,2032,3.6297
REGION1,2033,3.7894
REGION1,2034,3.9525
REGION1,2035,4.1191
REGION1,2036,4.289
REGION1,2037,4.4622
REGION1,2038,4.6387
REGION1,2039,4.8185
REGION1,2040,5.0012
REGION1,2041,5.195
REGION1,2042,5.3517
REGION1,2043,5.5083
REGION1,2044,5.6649
REGION1,2045,5.8215
REGION1,2046,5.9781
REGION1,2047,6.1347
REGION1,2048,6.2913
REGION1,2049,6.4479
REGION1,2050,6.6046
REGION1,2051,6.7612
REGION1,2052,6.9178
REGION1,2053,7.0744
REGION1,2054,7.231
REGION1,2055,7.3876
