REGION,YEAR,VALUE
REGION1,2021,1.698
REGION1,2022,1.7869
REGION1,2023,1.6815
REGION1,2024,1.7715
REGION1,2025,1.8632
REGION1,2026,1.9566
REGION1,2027,2.0516
REGION1,2028,2.1482
REGION1,2029,2.2464
REGION1,2030,2.346
REGION1,2031,2.4474
REGION1,2032,2.55
REGION1,2033,2.6541
REGION1,2034,2.7595
REGION1,2035,2.8664
REGION1,2036,2.9745
REGION1,2037,3.084
REGION1,2038,3.1947
REGION1,2039,3.3065
REGION1,2040,3.4194
REGION1,2041,3.5392
REGION1,2042,3.6417
REGION1,2043,3.7443
REGION1,2044,3.8468
REGION1,2045,3.9494
REGION1,2046,4.052
REGION1,2047,4.1545
REGION1,2048,4.2571
REGION1,2049,4.3597
REGION1,2050,4.4622
REGION1,2051,4.5648
REGION1,2052,4.6673
REGION1,2053,4.7699
REGION1,2054,4.8725
REGION1,2055,4.975
