REGION,TECHNOLOGY,YEAR,VALUE
REGION1,ZABACKSTOP,2021,1.0
REGION1,ZANULWPH1,2021,1.0
REGION1,ZASOU1PH1,2021,0.0
REGION1,ZACOSCPH1,2021,1.0
REGION1,ZALFRCPH1,2021,1.0
REGION1,ZAHFGCPH1,2021,1.0
REGION1,ZABMCHPH1,2021,1.0
REGION1,ZAHYDMSH1,2021,1.0
REGION1,ZASOC1PH1,2021,0.0
REGION1,ZANULWPN1,2021,1.0
REGION1,ZASOU1PN1,2021,0.0
REGION1,ZACOSCPN1,2021,1.0
REGION1,ZALFRCPN1,2021,1.0
REGION1,ZAHFGCPN1,2021,1.0
REGION1,ZABMCHPN1,2021,1.0
REGION1,ZAHYDMSN1,2021,1.0
REGION1,ZASOC1PN1,2021,0.0
REGION1,ZANGCCPN1,2021,1.0
REGION1,ZAWINDPN1,2021,0.05
REGION1,ZANGCCSPN1,2021,1.0
REGION1,ZABMCCSPN1,2021,1.0
REGION1,ZACOCCSPN1,2021,1.0
REGION1,ZABATTN1,2021,1.0
REGION1,ZAHYDSPH1,2021,1.0
REGION1,ZAHYDSPN1,2021,1.0
REGION1,BWELZAPH1,2021,1.0
REGION1,LSELZAPH1,2021,1.0
REGION1,MZELZAPH1,2021,1.0
REGION1,NAELZAPH1,2021,1.0
REGION1,ZAELSZPH1,2021,1.0
REGION1,ZAELZWPH1,2021,1.0
REGION1,ZABACKSTOP,2022,1.0
REGION1,ZANULWPH1,2022,1.0
REGION1,ZASOU1PH1,2022,0.0
REGION1,ZACOSCPH1,2022,1.0
REGION1,ZALFRCPH1,2022,1.0
REGION1,ZAHFGCPH1,2022,1.0
REGION1,ZABMCHPH1,2022,1.0
REGION1,ZAHYDMSH1,2022,1.0
REGION1,ZASOC1PH1,2022,0.0
REGION1,ZANULWPN1,2022,1.0
REGION1,ZASOU1PN1,2022,0.0
REGION1,ZACOSCPN1,2022,1.0
REGION1,ZALFRCPN1,2022,1.0
REGION1,ZAHFGCPN1,2022,1.0
REGION1,ZABMCHPN1,2022,1.0
REGION1,ZAHYDMSN1,2022,1.0
REGION1,ZASOC1PN1,2022,0.0
REGION1,ZANGCCPN1,2022,1.0
REGION1,ZAWINDPN1,2022,0.05
REGION1,ZANGCCSPN1,2022,1.0
REGION1,ZABMCCSPN1,2022,1.0
REGION1,ZACOCCSPN1,2022,1.0
REGION1,ZABATTN1,2022,1.0
REGION1,ZAHYDSPH1,2022,1.0
REGION1,ZAHYDSPN1,2022,1.0
REGION1,BWELZAPH1,2022,1.0
REGION1,LSELZAPH1,2022,1.0
REGION1,MZELZAPH1,2022,1.0
REGION1,NAELZAPH1,2022,1.0
REGION1,ZAELSZPH1,2022,1.0
REGION1,ZAELZWPH1,2022,1.0
REGION1,ZABACKSTOP,2023,1.0
REGION1,ZANULWPH1,2023,1.0
REGION1,ZASOU1PH1,2023,0.0
REGION1,ZACOSCPH1,2023,1.0
REGION1,ZALFRCPH1,2023,1.0
REGION1,ZAHFGCPH1,2023,1.0
REGION1,ZABMCHPH1,2023,1.0
REGION1,ZAHYDMSH1,2023,1.0
REGION1,ZASOC1PH1,2023,0.0
REGION1,ZANULWPN1,2023,1.0
REGION1,ZASOU1PN1,2023,0.0
REGION1,ZACOSCPN1,2023,1.0
REGION1,ZALFRCPN1,2023,1.0
REGION1,ZAHFGCPN1,2023,1.0
REGION1,ZABMCHPN1,2023,1.0
REGION1,ZAHYDMSN1,2023,1.0
REGION1,ZASOC1PN1,2023,0.0
REGION1,ZANGCCPN1,2023,1.0
REGION1,ZAWINDPN1,2023,0.05
REGION1,ZANGCCSPN1,2023,1.0
REGION1,ZABMCCSPN1,2023,1.0
REGION1,ZACOCCSPN1,2023,1.0
REGION1,ZABATTN1,2023,1.0
REGION1,ZAHYDSPH1,2023,1.0
REGION1,ZAHYDSPN1,2023,1.0
REGION1,BWELZAPH1,2023,1.0
REGION1,LSELZAPH1,2023,1.0
REGION1,MZELZAPH1,2023,1.0
REGION1,NAELZAPH1,2023,1.0
REGION1,ZAELSZPH1,2023,1.0
