REGION,TECHNOLOGY,YEAR,VALUE
REGION1,ZMBACKSTOP,2021,1.0
REGION1,ZMHYDMSH1,2021,1.0
REGION1,ZMWINDPH1,2021,0.05
REGION1,ZMCOSCPH1,2021,1.0
REGION1,ZMLFRCPH1,2021,1.0
REGION1,ZMHFGCPH1,2021,1.0
REGION1,ZMBMCHPH1,2021,1.0
REGION1,ZMHYDMSN1,2021,1.0
REGION1,ZMWINDPN1,2021,0.05
REGION1,ZMCOSCPN1,2021,1.0
REGION1,ZMLFRCPN1,2021,1.0
REGION1,ZMHFGCPN1,2021,1.0
REGION1,ZMBMCHPN1,2021,1.0
REGION1,ZMNGCCPN1,2021,1.0
REGION1,ZMSOU1PN1,2021,0.0
REGION1,ZMNGCCSPN1,2021,1.0
REGION1,ZMBMCCSPN1,2021,1.0
REGION1,ZMCOCCSPN1,2021,1.0
REGION1,ZMBATTN1,2021,1.0
REGION1,CDELZMPH1,2021,1.0
REGION1,ZMELZWPH1,2021,1.0
REGION1,ZMBACKSTOP,2022,1.0
REGION1,ZMHYDMSH1,2022,1.0
REGION1,ZMWINDPH1,2022,0.05
REGION1,ZMCOSCPH1,2022,1.0
REGION1,ZMLFRCPH1,2022,1.0
REGION1,ZMHFGCPH1,2022,1.0
REGION1,ZMBMCHPH1,2022,1.0
REGION1,ZMHYDMSN1,2022,1.0
REGION1,ZMWINDPN1,2022,0.05
REGION1,ZMCOSCPN1,2022,1.0
REGION1,ZMLFRCPN1,2022,1.0
REGION1,ZMHFGCPN1,2022,1.0
REGION1,ZMBMCHPN1,2022,1.0
REGION1,ZMNGCCPN1,2022,1.0
REGION1,ZMSOU1PN1,2022,0.0
REGION1,ZMNGCCSPN1,2022,1.0
REGION1,ZMBMCCSPN1,2022,1.0
REGION1,ZMCOCCSPN1,2022,1.0
REGION1,ZMBATTN1,2022,1.0
REGION1,CDELZMPH1,2022,1.0
REGION1,ZMELZWPH1,2022,1.0
REGION1,ZMBACKSTOP,2023,1.0
REGION1,ZMHYDMSH1,2023,1.0
REGION1,ZMWINDPH1,2023,0.05
REGION1,ZMCOSCPH1,2023,1.0
REGION1,ZMLFRCPH1,2023,1.0
REGION1,ZMHFGCPH1,2023,1.0
REGION1,ZMBMCHPH1,2023,1.0
REGION1,ZMHYDMSN1,2023,1.0
REGION1,ZMWINDPN1,2023,0.05
REGION1,ZMCOSCPN1,2023,1.0
REGION1,ZMLFRCPN1,2023,1.0
REGION1,ZMHFGCPN1,2023,1.0
REGION1,ZMBMCHPN1,2023,1.0
REGION1,ZMNGCCPN1,2023,1.0
REGION1,ZMSOU1PN1,2023,0.0
REGION1,ZMNGCCSPN1,2023,1.0
REGION1,ZMBMCCSPN1,2023,1.0
REGION1,ZMCOCCSPN1,2023,1.0
REGION1,ZMBATTN1,2023,1.0
REGION1,CDELZMPH1,2023,1.0
REGION1,ZMELZWPH1,2023,1.0
REGION1,ZMBACKSTOP,2024,1.0
REGION1,ZMHYDMSH1,2024,1.0
REGION1,ZMWINDPH1,2024,0.05
REGION1,ZMCOSCPH1,2024,1.0
REGION1,ZMLFRCPH1,2024,1.0
REGION1,ZMHFGCPH1,2024,1.0
REGION1,ZMBMCHPH1,2024,1.0
REGION1,ZMHYDMSN1,2024,1.0
REGION1,ZMWINDPN1,2024,0.05
REGION1,ZMCOSCPN1,2024,1.0
REGION1,ZMLFRCPN1,2024,1.0
REGION1,ZMHFGCPN1,2024,1.0
REGION1,ZMBMCHPN1,2024,1.0
REGION1,ZMNGCCPN1,2024,1.0
REGION1,ZMSOU1PN1,2024,0.0
REGION1,ZMNGCCSPN1,2024,1.0
REGION1,ZMBMCCSPN1,2024,1.0
REGION1,ZMCOCCSPN1,2024,1.0
REGION1,ZMBATTN1,2024,1.0
REGION1,CDELZMPH1,2024,1.0
REGION1,ZMELZWPH1,2024,1.0
REGION1,ZMBACKSTOP,2025,1.0
REGION1,ZMHYDMSH1,2025,1.0
REGION1,ZMWINDPH1,2025,0.05
REGION1,ZMCOSCPH1,2025,1.0
REGION1,ZMLFRCPH1,2025,1.0
REGION1,ZMHFGCPH1,2025,1.0
REGION1,ZMBMCHPH1,2025,1.0
REGION1,ZMHYDMSN1,2025,1.0
REGION1,ZMWINDPN1,2025,0.05
REGION1,ZMCOSCPN1,2025,1.0
REGION1,ZMLFRCPN1,2025,1.0
REGION1,ZMHFGCPN1,2025,1.0
REGION1,ZMBMCHPN1,2025,1.0
REGION1,ZMNGCCPN1,2025,1.0
REGION1,ZMSOU1PN1,2025,0.0
REGION1,ZMNGCCSPN1,2025,1.0
REGION1,ZMBMCCSPN1,2025,1.0
REGION1,ZMCOCCSPN1,2025,1.0
REGION1,ZMBATTN1,2025,1.0
REGION1,CDELZMPH1,2025,1.0
REGION1,ZMELZWPH1,2025,1.0
REGION1,ZMBACKSTOP,2026,1.0
REGION1,ZMHYDMSH1,2026,1.0
REGION1,ZMWINDPH1,2026,0.05
REGION1,ZMCOSCPH1,2026,1.0
