REGION,TECHNOLOGY,YEAR,VALUE
REGION1,ZWBACKSTOP,2021,1.0
REGION1,ZWSOU1PH1,2021,0.0
REGION1,ZWCOSCPH1,2021,1.0
REGION1,ZWLFRCPH1,2021,1.0
REGION1,ZWSOU1PN1,2021,0.0
REGION1,ZWCOSCPN1,2021,1.0
REGION1,ZWLFRCPN1,2021,1.0
REGION1,ZWNGCCPN1,2021,1.0
REGION1,ZWWINDPN1,2021,0.05
REGION1,ZWNGCCSPN1,2021,1.0
REGION1,ZWCOCCSPN1,2021,1.0
REGION1,ZWHYDMSH1,2021,1.0
REGION1,ZWBMCHPH1,2021,1.0
REGION1,ZWHYDMSN1,2021,1.0
REGION1,ZWBMCHPN1,2021,1.0
REGION1,ZWBMCCSPN1,2021,1.0
REGION1,ZWBATTN1,2021,1.0
REGION1,MZELZWPH1,2021,1.0
REGION1,ZAELZWPH1,2021,1.0
REGION1,ZMELZWPH1,2021,1.0
REGION1,ZWBACKSTOP,2022,1.0
REGION1,ZWSOU1PH1,2022,0.0
REGION1,ZWCOSCPH1,2022,1.0
REGION1,ZWLFRCPH1,2022,1.0
REGION1,ZWSOU1PN1,2022,0.0
REGION1,ZWCOSCPN1,2022,1.0
REGION1,ZWLFRCPN1,2022,1.0
REGION1,ZWNGCCPN1,2022,1.0
REGION1,ZWWINDPN1,2022,0.05
REGION1,ZWNGCCSPN1,2022,1.0
REGION1,ZWCOCCSPN1,2022,1.0
REGION1,ZWHYDMSH1,2022,1.0
REGION1,ZWBMCHPH1,2022,1.0
REGION1,ZWHYDMSN1,2022,1.0
REGION1,ZWBMCHPN1,2022,1.0
REGION1,ZWBMCCSPN1,2022,1.0
REGION1,ZWBATTN1,2022,1.0
REGION1,MZELZWPH1,2022,1.0
REGION1,ZAELZWPH1,2022,1.0
REGION1,ZMELZWPH1,2022,1.0
REGION1,ZWBACKSTOP,2023,1.0
REGION1,ZWSOU1PH1,2023,0.0
REGION1,ZWCOSCPH1,2023,1.0
REGION1,ZWLFRCPH1,2023,1.0
REGION1,ZWSOU1PN1,2023,0.0
REGION1,ZWCOSCPN1,2023,1.0
REGION1,ZWLFRCPN1,2023,1.0
REGION1,ZWNGCCPN1,2023,1.0
REGION1,ZWWINDPN1,2023,0.05
REGION1,ZWNGCCSPN1,2023,1.0
REGION1,ZWCOCCSPN1,2023,1.0
REGION1,ZWHYDMSH1,2023,1.0
REGION1,ZWBMCHPH1,2023,1.0
REGION1,ZWHYDMSN1,2023,1.0
REGION1,ZWBMCHPN1,2023,1.0
REGION1,ZWBMCCSPN1,2023,1.0
REGION1,ZWBATTN1,2023,1.0
REGION1,MZELZWPH1,2023,1.0
REGION1,ZAELZWPH1,2023,1.0
REGION1,ZMELZWPH1,2023,1.0
REGION1,ZWBACKSTOP,2024,1.0
REGION1,ZWSOU1PH1,2024,0.0
REGION1,ZWCOSCPH1,2024,1.0
REGION1,ZWLFRCPH1,2024,1.0
REGION1,ZWSOU1PN1,2024,0.0
REGION1,ZWCOSCPN1,2024,1.0
REGION1,ZWLFRCPN1,2024,1.0
REGION1,ZWNGCCPN1,2024,1.0
REGION1,ZWWINDPN1,2024,0.05
REGION1,ZWNGCCSPN1,2024,1.0
REGION1,ZWCOCCSPN1,2024,1.0
REGION1,ZWHYDMSH1,2024,1.0
REGION1,ZWBMCHPH1,2024,1.0
REGION1,ZWHYDMSN1,2024,1.0
REGION1,ZWBMCHPN1,2024,1.0
REGION1,ZWBMCCSPN1,2024,1.0
REGION1,ZWBATTN1,2024,1.0
REGION1,MZELZWPH1,2024,1.0
REGION1,ZAELZWPH1,2024,1.0
REGION1,ZMELZWPH1,2024,1.0
REGION1,ZWBACKSTOP,2025,1.0
REGION1,ZWSOU1PH1,2025,0.0
REGION1,ZWCOSCPH1,2025,1.0
REGION1,ZWLFRCPH1,2025,1.0
REGION1,ZWSOU1PN1,2025,0.0
REGION1,ZWCOSCPN1,2025,1.0
REGION1,ZWLFRCPN1,2025,1.0
REGION1,ZWNGCCPN1,2025,1.0
REGION1,ZWWINDPN1,2025,0.05
REGION1,ZWNGCCSPN1,2025,1.0
REGION1,ZWCOCCSPN1,2025,1.0
REGION1,ZWHYDMSH1,2025,1.0
REGION1,ZWBMCHPH1,2025,1.0
REGION1,ZWHYDMSN1,2025,1.0
REGION1,ZWBMCHPN1,2025,1.0
REGION1,ZWBMCCSPN1,2025,1.0
REGION1,ZWBATTN1,2025,1.0
REGION1,MZELZWPH1,2025,1.0
REGION1,ZAELZWPH1,2025,1.0
REGION1,ZMELZWPH1,2025,1.0
REGION1,ZWBACKSTOP,2026,1.0
REGION1,ZWSOU1PH1,2026,0.0
REGION1,ZWCOSCPH1,2026,1.0
REGION1,ZWLFRCPH1,2026,1.0
REGION1,ZWSOU1PN1,2026,0.0
REGION1,ZWCOSCPN1,2026,1.0
REGION1,ZWLFRCPN1,2026,1.0
REGION1,ZWNGCCPN1,2026,1.0
REGION1,ZWWINDPN1,2026,0.05
REGION1,ZWNGCCSPN1,2026,1.0
REGION1,ZWCOCCSPN1,2026,1.0
REGION1,ZWHYDMSH1,2026,1.0
REGION1,ZWBMCHPH1,2026,1.0
REGION1,ZWHYDMSN1,2026,1.0
REGION1,ZWBMCHPN1,2026,1.0
REGION1,ZWBMCCSPN1,2026,1.0
REGION1,ZWBATTN1,2026,1.0
REGION1,MZELZWPH1,2026,1.0
REGION1,ZAELZWPH1,2026,1.0
REGION1,ZMELZWPH1,2026,1.0
REGION1,ZWBACKSTOP,2027,1.0
